persons_detected,unique_tracks,zone_occupancy,restricted_zone_entries,restricted_zone_exits,time_in_restricted_zone,loitering_events,after_hours_activity,crowd_level,repeated_entries,detection_confidence_mean,detection_confidence_min,detection_confidence_max,movement_speed,event_frequency,events_per_minute,activity_hour,day_of_week,camera_activity_level,is_anomaly,scenario_type
52,4,2,0,0,0.0,0,0.0,3,0,0.899,0.799,0.939,54.2,0,0.0,11,6,0.48,0,normal_lobby_transit
46,2,2,2,1,152.3,1,1.0,2,1,0.836,0.656,0.896,17.7,3,4.5,2,6,0.955,1,after_hours_breach
9,1,0,0,0,0.0,0,0.0,1,0,0.925,0.787,0.953,27.3,0,0.0,10,4,0.312,0,normal_daytime
78,6,3,1,1,6.8,0,0.0,3,0,0.83,0.734,0.869,61.9,1,1.0,10,0,0.816,0,normal_daytime
29,1,1,1,0,83.1,1,0.0,1,1,0.857,0.777,0.907,6.3,3,3.0,19,1,0.716,1,pharmacy_loitering
16,2,1,0,0,0.0,0,1.0,1,0,0.806,0.686,0.856,41.3,0,0.0,2,2,0.2,0,normal_night_staff
72,4,2,0,0,0.0,0,0.0,1,0,0.87,0.77,0.91,60.0,0,0.0,15,6,0.48,0,normal_lobby_transit
52,4,1,0,0,0.0,0,0.0,1,0,0.917,0.767,0.974,23.2,0,0.0,11,4,0.54,0,normal_daytime
9,1,1,0,0,0.0,0,0.0,1,0,0.876,0.752,0.912,41.8,0,0.0,17,1,0.355,0,normal_daytime
45,3,2,1,1,5.0,0,0.0,2,1,0.875,0.704,0.896,55.0,1,1.0,18,5,0.555,0,normal_daytime
20,2,1,0,0,0.0,0,1.0,1,0,0.845,0.725,0.895,27.2,0,0.0,21,0,0.2,0,normal_night_staff
16,2,1,1,1,4.0,0,0.0,1,1,0.859,0.722,0.886,29.4,0,0.0,15,1,0.398,0,normal_daytime
72,6,3,0,0,0.0,0,0.0,3,1,0.829,0.72,0.86,35.7,0,0.0,11,6,0.737,0,normal_daytime
66,6,2,0,0,0.0,0,0.0,2,0,0.831,0.713,0.873,24.4,0,0.0,17,1,0.703,0,normal_daytime
65,5,3,1,1,1.3,0,0.0,3,1,0.822,0.704,0.859,63.3,1,1.0,9,6,0.74,0,normal_daytime
10,1,0,0,0,0.0,0,1.0,0,0,0.854,0.734,0.904,42.5,0,0.0,3,5,0.14,0,normal_night_staff
80,5,1,0,0,0.0,0,0.0,2,0,0.906,0.806,0.946,53.2,0,0.0,19,2,0.55,0,normal_lobby_transit
50,5,2,0,0,0.0,0,0.0,2,1,0.883,0.73,0.912,22.1,0,0.0,18,6,0.616,0,normal_daytime
4,1,0,0,0,0.0,0,1.0,0,0,0.905,0.785,0.955,28.3,0,0.0,22,0,0.14,0,normal_night_staff
20,2,0,1,1,10.2,0,0.0,1,0,0.837,0.678,0.885,25.8,1,1.0,13,4,0.387,0,normal_daytime
26,2,2,0,0,0.0,0,0.0,2,0,0.845,0.669,0.886,56.6,0,0.0,19,0,0.48,0,normal_daytime
84,7,1,0,0,0.0,0,0.0,1,0,0.929,0.829,0.969,36.2,0,0.0,18,6,0.69,0,normal_lobby_transit
133,7,2,0,0,0.0,0,0.0,2,0,0.884,0.784,0.924,57.0,0,0.0,8,1,0.69,0,normal_lobby_transit
45,5,1,0,0,0.0,0,0.0,1,0,0.885,0.718,0.938,51.5,0,0.0,12,2,0.705,0,normal_daytime
78,6,3,1,1,9.0,0,0.0,3,1,0.878,0.738,0.93,50.7,0,0.0,19,3,0.782,0,normal_daytime
95,5,2,0,0,0.0,0,0.0,3,0,0.853,0.753,0.893,60.7,0,0.0,15,0,0.55,0,normal_lobby_transit
6,1,0,0,0,0.0,0,1.0,0,0,0.853,0.733,0.903,48.9,0,0.0,2,1,0.14,0,normal_night_staff
7,1,1,1,1,4.8,0,1.0,1,0,0.858,0.738,0.908,47.8,0,0.0,5,6,0.14,0,normal_night_staff
22,2,0,0,0,0.0,0,0.0,2,0,0.928,0.828,0.968,72.7,0,0.0,8,1,0.34,0,normal_lobby_transit
60,5,1,2,0,6.3,0,0.0,1,0,0.87,0.782,0.921,51.1,0,0.0,10,5,0.703,0,normal_daytime
56,4,3,1,0,11.5,0,0.0,3,0,0.857,0.704,0.916,35.1,1,1.0,13,0,0.575,0,normal_daytime
7,1,1,1,1,3.3,0,1.0,1,0,0.829,0.709,0.879,48.4,0,0.0,5,6,0.14,0,normal_night_staff
5,1,0,0,0,0.0,0,1.0,0,0,0.911,0.791,0.961,39.1,0,0.0,3,0,0.14,0,normal_night_staff
84,7,1,0,0,0.0,0,0.0,2,0,0.879,0.779,0.919,67.0,0,0.0,16,4,0.69,0,normal_lobby_transit
20,2,1,0,0,0.0,0,0.0,1,0,0.908,0.78,0.942,31.4,0,0.0,17,5,0.404,0,normal_daytime
90,6,0,0,0,0.0,0,0.0,2,0,0.857,0.757,0.897,68.4,0,0.0,20,6,0.62,0,normal_lobby_transit
12,2,0,1,1,2.4,0,1.0,0,0,0.811,0.691,0.861,35.9,0,0.0,3,6,0.2,0,normal_night_staff
30,2,1,1,0,2.5,0,0.0,1,0,0.9,0.722,0.926,41.3,0,0.0,13,4,0.434,0,normal_daytime
5,1,0,1,1,3.6,0,1.0,0,0,0.912,0.792,0.962,49.9,0,0.0,2,5,0.14,0,normal_night_staff
100,5,0,0,0,0.0,0,0.0,1,0,0.948,0.848,0.988,35.6,0,0.0,7,5,0.55,0,normal_lobby_transit
14,2,0,0,0,0.0,0,1.0,0,0,0.888,0.768,0.938,45.0,0,0.0,6,1,0.2,0,normal_night_staff
12,1,0,2,2,8.0,0,0.0,1,0,0.931,0.807,0.969,58.2,2,2.0,13,6,0.405,0,normal_daytime
40,5,0,0,0,0.0,0,0.0,1,1,0.883,0.793,0.918,24.2,0,0.0,9,4,0.623,0,normal_daytime
65,5,0,1,0,1.9,0,0.0,1,0,0.89,0.786,0.935,33.8,0,0.0,8,1,0.651,0,normal_daytime
13,1,0,1,1,10.5,0,0.0,1,1,0.924,0.772,0.983,47.8,0,0.0,10,4,0.373,0,normal_daytime
70,7,2,0,0,0.0,0,0.0,3,0,0.891,0.791,0.931,48.7,0,0.0,20,5,0.69,0,normal_lobby_transit
18,2,1,1,1,2.1,0,1.0,1,0,0.808,0.688,0.858,36.1,0,0.0,4,5,0.2,0,normal_night_staff
24,2,1,0,0,0.0,0,0.0,1,0,0.93,0.789,0.985,60.1,0,0.0,10,1,0.49,0,normal_daytime
37,1,1,1,0,228.3,1,1.0,1,0,0.909,0.829,0.959,4.7,2,2.0,22,0,1.0,1,pharmacy_loitering
56,4,3,1,1,0.6,0,0.0,3,0,0.844,0.677,0.898,41.1,1,1.0,18,0,0.593,0,normal_daytime
42,3,2,0,0,0.0,0,0.0,2,0,0.929,0.829,0.969,66.7,0,0.0,11,5,0.41,0,normal_lobby_transit
65,5,0,0,0,0.0,0,0.0,1,0,0.854,0.754,0.894,67.2,0,0.0,17,4,0.55,0,normal_lobby_transit
10,1,0,0,0,0.0,0,1.0,0,0,0.898,0.778,0.948,31.2,0,0.0,0,1,0.14,0,normal_night_staff
102,6,2,0,0,0.0,0,0.0,1,0,0.893,0.793,0.933,61.1,0,0.0,12,4,0.62,0,normal_lobby_transit
14,2,0,1,1,2.4,0,1.0,0,0,0.883,0.763,0.933,39.8,0,0.0,23,4,0.2,0,normal_night_staff
16,2,0,0,0,0.0,0,1.0,0,0,0.915,0.795,0.965,27.7,0,0.0,1,1,0.2,0,normal_night_staff
56,4,1,0,0,0.0,0,0.0,2,0,0.863,0.763,0.903,60.2,0,0.0,14,1,0.48,0,normal_lobby_transit
7,1,0,0,0,0.0,0,1.0,0,0,0.866,0.746,0.916,41.7,0,0.0,22,2,0.14,0,normal_night_staff
8,1,0,0,0,0.0,0,0.0,1,0,0.925,0.754,0.951,34.6,0,0.0,17,4,0.334,0,normal_daytime
55,5,1,0,0,0.0,0,0.0,1,0,0.841,0.746,0.899,29.4,0,0.0,12,4,0.638,0,normal_daytime
54,6,1,1,1,9.8,0,0.0,1,0,0.922,0.798,0.959,55.1,1,1.0,16,3,0.795,0,normal_daytime
80,4,0,0,0,0.0,0,0.0,3,0,0.93,0.83,0.97,72.2,0,0.0,8,0,0.48,0,normal_lobby_transit
36,4,3,0,0,0.0,0,0.0,3,0,0.857,0.695,0.904,28.8,0,0.0,16,3,0.556,0,normal_daytime
78,6,1,0,0,0.0,0,0.0,1,0,0.918,0.818,0.958,70.0,0,0.0,20,5,0.62,0,normal_lobby_transit
65,5,0,0,0,0.0,0,0.0,1,0,0.934,0.777,0.965,31.1,0,0.0,17,5,0.643,0,normal_daytime
60,6,1,0,0,0.0,0,0.0,1,0,0.872,0.701,0.923,50.2,0,0.0,10,1,0.781,0,normal_daytime
40,4,2,0,0,0.0,0,0.0,2,0,0.854,0.686,0.875,48.6,0,0.0,14,5,0.616,0,normal_daytime
9,1,1,1,1,2.0,0,1.0,1,0,0.814,0.694,0.864,45.1,0,0.0,5,3,0.14,0,normal_night_staff
20,2,0,0,0,0.0,0,1.0,0,0,0.867,0.747,0.917,34.4,0,0.0,2,2,0.2,0,normal_night_staff
9,1,1,0,0,0.0,0,1.0,1,0,0.878,0.758,0.928,26.1,0,0.0,22,0,0.14,0,normal_night_staff
105,7,0,0,0,0.0,0,0.0,2,0,0.947,0.847,0.987,52.5,0,0.0,18,6,0.69,0,normal_lobby_transit
5,1,1,0,0,0.0,0,1.0,1,0,0.811,0.691,0.861,46.2,0,0.0,22,0,0.14,0,normal_night_staff
84,6,3,1,1,1.0,0,0.0,3,0,0.879,0.767,0.918,38.7,0,0.0,11,2,0.746,0,normal_daytime
33,3,3,1,1,7.5,0,0.0,3,1,0.901,0.766,0.956,49.0,0,0.0,18,4,0.537,0,normal_daytime
30,3,0,2,0,8.6,0,0.0,1,1,0.917,0.819,0.945,22.7,0,0.0,10,1,0.458,0,normal_daytime
28,2,0,0,0,0.0,0,0.0,1,0,0.933,0.792,0.973,25.2,0,0.0,8,4,0.386,0,normal_daytime
60,6,2,2,1,11.3,0,0.0,2,0,0.848,0.687,0.876,52.6,2,2.0,18,6,0.788,0,normal_daytime
133,7,1,0,0,0.0,0,0.0,1,0,0.913,0.813,0.953,58.1,0,0.0,18,2,0.69,0,normal_lobby_transit
48,4,1,0,0,0.0,0,0.0,2,0,0.923,0.823,0.963,68.2,0,0.0,20,2,0.48,0,normal_lobby_transit
22,2,1,0,0,0.0,0,0.0,1,0,0.869,0.774,0.901,33.3,0,0.0,10,3,0.41,0,normal_daytime
40,4,3,0,0,0.0,0,0.0,3,0,0.896,0.796,0.931,51.6,0,0.0,9,4,0.625,0,normal_daytime
84,6,3,1,1,2.2,0,0.0,3,0,0.867,0.692,0.897,59.4,0,0.0,10,4,0.808,0,normal_daytime
14,1,0,1,1,1.6,0,0.0,1,0,0.86,0.739,0.888,31.0,1,1.0,14,6,0.323,0,normal_daytime
9,1,0,2,2,6.0,0,0.0,1,0,0.939,0.849,0.99,58.9,0,0.0,14,6,0.407,0,normal_daytime
56,4,2,0,0,0.0,0,0.0,2,1,0.891,0.712,0.926,38.8,0,0.0,15,5,0.586,0,normal_daytime
12,1,1,2,2,3.7,0,0.0,1,0,0.867,0.727,0.887,35.0,2,2.0,13,3,0.335,0,normal_daytime
56,4,2,0,0,0.0,0,0.0,2,0,0.886,0.738,0.941,51.3,0,0.0,13,5,0.624,0,normal_daytime
33,3,0,0,0,0.0,0,0.0,2,0,0.93,0.83,0.97,72.1,0,0.0,15,1,0.41,0,normal_lobby_transit
260,13,7,5,1,47.5,2,0.0,7,3,0.859,0.659,0.919,22.4,6,12.0,12,4,0.995,1,crowd_surge
7,1,1,1,1,7.3,0,1.0,1,0,0.917,0.797,0.967,47.3,0,0.0,0,2,0.14,0,normal_night_staff
20,2,2,2,2,1.0,0,0.0,2,0,0.891,0.774,0.937,38.3,0,0.0,15,5,0.425,0,normal_daytime
4,1,0,0,0,0.0,0,1.0,0,0,0.801,0.681,0.851,45.8,0,0.0,0,0,0.14,0,normal_night_staff
60,6,1,2,0,9.7,0,0.0,1,0,0.872,0.73,0.897,31.6,0,0.0,12,2,0.725,0,normal_daytime
58,2,2,4,0,61.9,2,1.0,2,1,0.812,0.632,0.872,12.6,2,3.0,3,0,0.774,1,after_hours_breach
13,1,1,0,0,0.0,0,0.0,1,0,0.826,0.65,0.858,51.1,0,0.0,17,4,0.383,0,normal_daytime
60,4,1,0,0,0.0,0,0.0,1,1,0.821,0.653,0.869,26.8,0,0.0,12,0,0.55,0,normal_daytime
32,1,1,3,1,121.4,1,1.0,1,1,0.832,0.652,0.892,6.4,3,4.5,1,4,0.893,1,after_hours_breach
56,4,0,2,0,5.4,0,0.0,1,1,0.867,0.717,0.895,54.3,0,0.0,18,5,0.633,0,normal_daytime
32,2,0,0,0,0.0,0,0.0,2,0,0.906,0.806,0.946,43.3,0,0.0,18,1,0.34,0,normal_lobby_transit
8,2,0,1,1,5.2,0,1.0,0,0,0.82,0.7,0.87,30.0,0,0.0,5,6,0.2,0,normal_night_staff
24,3,1,1,1,6.2,0,0.0,1,0,0.9,0.802,0.927,37.1,0,0.0,16,3,0.501,0,normal_daytime
9,1,0,0,0,0.0,0,1.0,0,0,0.894,0.774,0.944,31.9,0,0.0,2,5,0.14,0,normal_night_staff
45,3,1,0,0,0.0,0,0.0,1,0,0.895,0.803,0.948,26.4,0,0.0,10,2,0.469,0,normal_daytime
8,2,0,0,0,0.0,0,1.0,0,0,0.904,0.784,0.954,45.5,0,0.0,22,0,0.2,0,normal_night_staff
8,2,1,0,0,0.0,0,1.0,1,0,0.804,0.684,0.854,26.2,0,0.0,4,3,0.2,0,normal_night_staff
8,2,1,0,0,0.0,0,1.0,1,0,0.815,0.695,0.865,42.3,0,0.0,23,2,0.2,0,normal_night_staff
40,5,1,0,0,0.0,0,0.0,1,0,0.891,0.766,0.938,59.5,0,0.0,18,3,0.729,0,normal_daytime
4,1,0,0,0,0.0,0,1.0,0,0,0.842,0.722,0.892,30.1,0,0.0,4,3,0.14,0,normal_night_staff
38,1,1,1,0,70.9,1,0.0,1,0,0.866,0.786,0.916,3.2,2,2.0,14,5,0.692,1,pharmacy_loitering
18,2,1,2,1,1.7,0,0.0,1,0,0.858,0.68,0.898,63.9,0,0.0,13,3,0.502,0,normal_daytime
8,1,0,1,1,0.2,0,0.0,1,0,0.914,0.787,0.973,23.4,1,1.0,14,4,0.3,0,normal_daytime
60,4,1,2,2,9.5,0,0.0,1,1,0.904,0.735,0.955,39.4,2,2.0,10,5,0.588,0,normal_daytime
54,6,1,2,1,5.6,0,0.0,1,0,0.883,0.742,0.913,49.1,0,0.0,17,3,0.777,0,normal_daytime
20,1,1,4,3,26.2,0,1.0,1,3,0.879,0.779,0.929,33.3,2,3.0,21,1,0.86,1,repeated_reconnaissance
16,1,1,2,1,57.4,2,1.0,1,3,0.743,0.563,0.803,11.6,3,4.5,1,4,0.765,1,after_hours_breach
6,1,0,1,1,1.1,0,1.0,0,0,0.807,0.687,0.857,44.7,0,0.0,0,1,0.14,0,normal_night_staff
30,3,3,1,1,6.4,0,0.0,3,0,0.904,0.772,0.946,48.0,0,0.0,9,0,0.534,0,normal_daytime
12,1,1,1,1,2.7,0,0.0,1,0,0.875,0.755,0.895,29.5,0,0.0,19,0,0.319,0,normal_daytime
23,1,1,1,0,190.9,1,0.0,1,1,0.919,0.839,0.969,2.8,2,2.0,19,5,0.932,1,pharmacy_loitering
102,6,0,0,0,0.0,0,0.0,1,0,0.883,0.783,0.923,36.5,0,0.0,20,4,0.62,0,normal_lobby_transit
18,2,0,1,1,5.0,0,1.0,0,0,0.896,0.776,0.946,28.8,0,0.0,23,2,0.2,0,normal_night_staff
4,1,0,1,1,6.8,0,1.0,0,0,0.878,0.758,0.928,33.3,0,0.0,5,3,0.14,0,normal_night_staff
27,1,1,2,1,115.7,1,1.0,1,3,0.8,0.62,0.86,10.3,4,6.0,2,0,0.881,1,after_hours_breach
13,1,1,2,2,0.1,0,0.0,1,1,0.855,0.726,0.905,32.7,2,2.0,18,1,0.328,0,normal_daytime
65,5,2,1,1,4.7,0,0.0,2,1,0.871,0.765,0.893,42.9,1,1.0,14,0,0.679,0,normal_daytime
5,1,0,1,1,1.0,0,1.0,0,0,0.829,0.709,0.879,45.3,0,0.0,21,0,0.14,0,normal_night_staff
72,6,2,0,0,0.0,0,0.0,2,0,0.909,0.809,0.949,57.9,0,0.0,18,0,0.62,0,normal_lobby_transit
70,5,0,1,1,0.5,0,0.0,1,0,0.841,0.733,0.897,51.7,0,0.0,9,6,0.705,0,normal_daytime
9,1,0,0,0,0.0,0,0.0,1,0,0.839,0.742,0.862,22.1,0,0.0,17,4,0.296,0,normal_daytime
6,1,0,0,0,0.0,0,1.0,0,0,0.92,0.8,0.97,27.1,0,0.0,21,1,0.14,0,normal_night_staff
75,5,2,0,0,0.0,0,0.0,2,0,0.895,0.731,0.916,62.0,0,0.0,17,1,0.736,0,normal_daytime
14,2,1,0,0,0.0,0,1.0,1,0,0.84,0.72,0.89,39.0,0,0.0,0,6,0.2,0,normal_night_staff
55,5,2,0,0,0.0,0,0.0,2,0,0.933,0.825,0.958,59.6,0,0.0,11,0,0.729,0,normal_daytime
24,2,2,1,1,8.4,0,0.0,2,0,0.894,0.726,0.919,33.1,0,0.0,17,6,0.409,0,normal_daytime
10,1,0,1,1,3.6,0,1.0,0,0,0.803,0.683,0.853,41.1,0,0.0,2,0,0.14,0,normal_night_staff
91,7,2,0,0,0.0,0,0.0,1,0,0.858,0.758,0.898,54.8,0,0.0,17,5,0.69,0,normal_lobby_transit
8,1,0,0,0,0.0,0,1.0,0,0,0.838,0.718,0.888,47.0,0,0.0,23,2,0.14,0,normal_night_staff
50,5,1,1,1,10.9,0,0.0,1,0,0.92,0.788,0.952,29.0,0,0.0,16,5,0.637,0,normal_daytime
8,2,0,0,0,0.0,0,1.0,0,0,0.87,0.75,0.92,46.8,0,0.0,21,5,0.2,0,normal_night_staff
8,2,0,1,1,3.8,0,1.0,0,0,0.895,0.775,0.945,31.9,0,0.0,0,0,0.2,0,normal_night_staff
18,2,0,1,1,7.3,0,0.0,1,0,0.859,0.684,0.914,33.4,1,1.0,11,6,0.41,0,normal_daytime
55,5,2,0,0,0.0,0,0.0,3,0,0.909,0.809,0.949,61.9,0,0.0,11,1,0.55,0,normal_lobby_transit
32,4,3,1,0,4.8,0,0.0,3,1,0.913,0.82,0.938,46.0,0,0.0,13,0,0.608,0,normal_daytime
72,6,0,0,0,0.0,0,0.0,3,0,0.877,0.777,0.917,74.8,0,0.0,17,6,0.62,0,normal_lobby_transit
44,4,3,0,0,0.0,0,0.0,3,0,0.93,0.758,0.982,61.1,0,0.0,10,1,0.653,0,normal_daytime
75,5,3,0,0,0.0,0,0.0,3,0,0.858,0.715,0.886,27.0,0,0.0,17,6,0.631,0,normal_daytime
40,4,2,0,0,0.0,0,0.0,2,0,0.874,0.716,0.924,62.8,0,0.0,12,3,0.658,0,normal_daytime
80,4,2,0,0,0.0,0,0.0,2,0,0.923,0.823,0.963,73.3,0,0.0,13,6,0.48,0,normal_lobby_transit
42,3,2,0,0,0.0,0,0.0,2,0,0.846,0.716,0.901,49.6,0,0.0,8,6,0.539,0,normal_daytime
33,3,2,0,0,0.0,0,0.0,1,0,0.916,0.816,0.956,52.8,0,0.0,8,0,0.41,0,normal_lobby_transit
48,6,3,0,0,0.0,0,0.0,3,1,0.933,0.766,0.974,53.9,0,0.0,13,6,0.792,0,normal_daytime
9,1,1,2,0,1.3,0,0.0,1,0,0.851,0.753,0.874,58.3,0,0.0,17,6,0.405,0,normal_daytime
7,1,0,0,0,0.0,0,1.0,0,0,0.864,0.744,0.914,44.5,0,0.0,21,2,0.14,0,normal_night_staff
9,1,0,2,1,0.7,0,0.0,1,0,0.896,0.779,0.934,36.4,0,0.0,16,1,0.339,0,normal_daytime
36,3,0,1,0,0.4,0,0.0,1,0,0.895,0.745,0.953,35.9,0,0.0,9,3,0.498,0,normal_daytime
6,1,1,1,1,7.5,0,1.0,1,0,0.905,0.785,0.955,27.9,0,0.0,21,1,0.14,0,normal_night_staff
30,2,0,1,1,10.8,0,0.0,1,1,0.914,0.793,0.964,57.9,0,0.0,8,5,0.484,0,normal_daytime
45,3,3,2,0,4.5,0,0.0,3,0,0.907,0.773,0.94,49.5,0,0.0,9,4,0.538,0,normal_daytime
39,1,1,1,0,159.5,1,0.0,1,1,0.917,0.837,0.967,4.4,1,1.0,10,4,0.869,1,pharmacy_loitering
90,6,3,1,1,1.6,0,0.0,3,0,0.841,0.735,0.88,63.7,0,0.0,17,5,0.821,0,normal_daytime
45,5,2,2,0,10.4,0,0.0,2,1,0.884,0.705,0.916,22.4,0,0.0,19,2,0.617,0,normal_daytime
75,5,1,1,0,3.7,0,0.0,1,0,0.918,0.769,0.946,28.2,0,0.0,10,1,0.635,0,normal_daytime
8,1,1,1,1,6.2,0,1.0,1,0,0.853,0.733,0.903,44.2,0,0.0,22,1,0.14,0,normal_night_staff
8,1,1,2,2,12.0,0,0.0,1,0,0.885,0.754,0.91,37.0,2,2.0,13,6,0.341,0,normal_daytime
40,5,1,1,0,3.6,0,0.0,1,1,0.84,0.715,0.865,50.5,1,1.0,10,6,0.702,0,normal_daytime
10,1,1,1,1,2.1,0,1.0,1,0,0.865,0.745,0.915,28.7,0,0.0,5,5,0.14,0,normal_night_staff
24,3,1,1,1,9.8,0,0.0,1,1,0.89,0.779,0.935,39.3,0,0.0,16,1,0.508,0,normal_daytime
36,3,3,0,0,0.0,0,0.0,3,0,0.904,0.73,0.944,43.2,0,0.0,8,1,0.52,0,normal_daytime
30,3,0,2,2,1.4,0,0.0,1,0,0.929,0.814,0.978,57.2,0,0.0,13,1,0.562,0,normal_daytime
36,2,0,0,0,0.0,0,0.0,3,0,0.865,0.765,0.905,45.6,0,0.0,10,3,0.34,0,normal_lobby_transit
33,3,1,0,0,0.0,0,0.0,1,1,0.842,0.688,0.901,50.8,0,0.0,15,4,0.542,0,normal_daytime
4,1,1,0,0,0.0,0,1.0,1,0,0.856,0.736,0.906,28.8,0,0.0,2,2,0.14,0,normal_night_staff
7,1,0,1,1,3.3,0,1.0,0,0,0.913,0.793,0.963,43.4,0,0.0,0,2,0.14,0,normal_night_staff
22,2,2,0,0,0.0,0,0.0,2,1,0.937,0.782,0.99,32.2,0,0.0,8,2,0.407,0,normal_daytime
40,4,2,0,0,0.0,0,0.0,3,0,0.899,0.799,0.939,63.2,0,0.0,11,4,0.48,0,normal_lobby_transit
